ARK	title	subject	description	source	language	relation	coverage	creator	contributor	publisher	rights	date	type	format	identifier
ark:/12148/cb343476954		Sud lointain / Erwan Bergot ; présenté par Jeannine Balland				fre ; français			Bergot, Erwan (1930-1993). Auteur du texte	Balland, Jeannine (1929-2020). Préfacier	Presses de la Cité (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1997	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb343476954
ark:/12148/cb343335454		Les échecs artistiques et humoristiques / Jean-Claude Letzelter		Collection : Grasset "Europe échecs"		fre ; français			Letzelter, Jean-Claude. Auteur du texte		Grasset (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1990	texte imprimé ; printed text ; text	Ill., couv. ill. ; 23 cm	http://catalogue.bnf.fr/ark:/12148/cb343335454
ark:/12148/cb388239056		DESCF, nouvelles annales 2002		Collection : Expert sup		fre ; français					Dunod (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2002	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb388239056
ark:/12148/cb36594255q		Les oeuvres de Maurice Allais / Maurice Allais				fre ; français			Allais, Maurice (1911-2010). Auteur du texte		C. Juglar (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1990-200.	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb36594255q
ark:/12148/cb37126245w		DESCF, manuel & applications (Éd. 2000) 		Collection : Expert sup		fre ; français					Dunod (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb37126245w
ark:/12148/cb37126145m		L'argumentation / Daniel Grappin		Collection : 1, 2, 3... séquences !		fre ; français			Grappin, Daniel. Auteur du texte		CRDP de l'Académie de Grenoble (Grenoble) ; Delagrave (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb37126145m
ark:/12148/cb371364658		Droit constitutionnel / Olivier Duhamel		Collection : Points		fre ; français			Duhamel, Olivier (1950-....). Auteur du texte		Éd. du Seuil (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999-2000	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb371364658 ; ISBN 2020409410
ark:/12148/cb37583165f		Insignes des régiments et bataillons d'infanterie métropolitaine : de 1914 à 1970 : catalogue raisonné / Jean-Pierre Guarry				fre ; français			Guarry, Jean-Pierre (1948-....). Auteur du texte		J.-P. Guarry (Brive)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb37583165f
ark:/12148/cb35617685v		JetPrint : versione ENEL	JetForm			ita ; italien					Lazerprint	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1991	texte imprimé ; printed text ; text	Pagination multiple [ca 160] p. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb35617685v
ark:/12148/cb40167535m		La saga des McKinnon / Barbara Hannay		Collection : Collection Azur		fre ; français			Hannay, Barbara. Auteur du texte		Éd. Harlequin (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	17 cm	http://catalogue.bnf.fr/ark:/12148/cb40167535m
ark:/12148/cb443790752		Répertoire Éclaireurs français / Janik Pikula		Collection : Répertoires de l'association Scoutisme, patrimoine & collections		fre ; français			Pikula, Janik. Auteur du texte		Scoutisme, patrimoine et collections (La Flamengrie)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2015	texte imprimé ; printed text ; text	Ill. en coul. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb443790752
ark:/12148/cb34334796t		Histoire d'Erquy / Jean-Pierre Le Gal La Salle				fre ; français			Le Gal La Salle, Jean-Pierre. Auteur du texte		J.-P. Le Gal La Salle (Pléneuf-Val-André)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1991	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb34334796t
ark:/12148/cb36946786h		Chimie analytique (3e éd.) 		Collection : Abrégés de pharmacie		fre ; français					Masson (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb36946786h
ark:/12148/cb343462368		Les fils de l'Estadou / par Franck Lacroix		Collection : Collection Ainventaire		fre ; français			Lacroix, Franck (1969-....). Auteur du texte		Musnier-Gilbert (Bourg-en-Bresse)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text	Ill., couv. ill. en coul. ; 20 cm	http://catalogue.bnf.fr/ark:/12148/cb343462368
ark:/12148/cb34346826m		Exercices corrigés / Michel Girard,...		Collection : Électronique analogique		fre ; français			Girard, Michel (1941-....). Auteur du texte		Édiscience international (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text	Ill. ; 23 cm	http://catalogue.bnf.fr/ark:/12148/cb34346826m
ark:/12148/cb343369360		Mathématiques appliquées à la gestion de l'entreprise / M. Duhaut,...		Collection : Collection Deprez-Duvant		fre ; français			Duhaut, Michel. Auteur du texte		Techniplus (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1992	texte imprimé ; printed text ; text	 ; 26 cm	http://catalogue.bnf.fr/ark:/12148/cb343369360
ark:/12148/cb342986868		Tourisme, prévisions, perspectives, prospective : essai bibliographique / R. Baretje				fre ; français			Baretje, René (1933-....). Auteur du texte		Centre des hautes études touristiques (Aix-en-Provence)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1980	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb342986868
ark:/12148/cb343129865		Peutit Keupon / par Tapage nocturne				fre ; français			Tapage nocturne (Auteur). Auteur du texte		BP 47, 76802 Cedex (Saint-Etienne-du-Rouvray) ; Anarchy-destroy éd. (Saint-Etienne-du-Rouvray) ; diff. "On a faim!" (Saint-Etienne-du-Rouvray)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1986	texte imprimé ; printed text ; text	Ill., couv. ill. ; 8 x 21 cm	http://catalogue.bnf.fr/ark:/12148/cb343129865
ark:/12148/cb34314216j		Les Ailes du matin : roman / Mireille Lesage		Collection : Le Livre de poche		fre ; français			Lesage, Mireille (1949-....). Auteur du texte		Librairie générale française (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1990	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 17 cm	http://catalogue.bnf.fr/ark:/12148/cb34314216j
ark:/12148/cb343139465		L'Exécutif en France / Compagnie européenne d'éditions et publications périodiques				fre ; français			Compagnie européenne d'édition et de publications périodiques. Auteur du texte		Compagnie européenne d'éditions et publications périodiques (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1989	texte imprimé ; printed text ; text	32 cm	http://catalogue.bnf.fr/ark:/12148/cb343139465
ark:/12148/cb438468869		La franc-maçonnerie rendue intelligible à ses adeptes / Oswald Wirth		Collection : Collection Franc-maçonnerie		fre ; français			Wirth, Oswald (1860-1943). Auteur du texte		Éd. Equinoxis (Espéraza)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2014	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb438468869
ark:/12148/cb388797263		DESCF, manuel & applications (Éd. 2002) 		Collection : Expert sup		fre ; français					Dunod (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2002	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb388797263
ark:/12148/cb37135436f		Esprit de feu / photogr. de Christophe Dubois ; textes de Carlo Zaglia				fre ; français			Zaglia, Carlo (1965-....). Auteur du texte	Dubois, Christophe (1967-....). Illustrateur	ETAI (Boulogne-Billancourt)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	25 x 28 cm	http://catalogue.bnf.fr/ark:/12148/cb37135436f
ark:/12148/cb37135406h		Inventaire-sommaire : série H ([Reprod. en fac-sim.]) Archives départementales de l'Oise				fre ; français			Oise. Archives départementales. Auteur du texte		[Archives départementales de l'Oise] (Beauvais)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	31 cm	http://catalogue.bnf.fr/ark:/12148/cb37135406h
ark:/12148/cb37136526n		Histoire des droites françaises / Jean-François Chiappe ; avec la collab. de Éric Vatré				fre ; français			Chiappe, Jean-François (1931-2001). Auteur du texte	Vatré, Éric. Collaborateur	[Paris] (Monaco) ; Éd. du Rocher (Monaco)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb37136526n
ark:/12148/cb37127476z		Impressions : projets, propositions de loi, rapports, avis, etc.. 2000-2001 / Sénat				fre ; français			France. Sénat (1958-....). Auteur du texte		Sénat (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	24 cm et 30 cm	http://catalogue.bnf.fr/ark:/12148/cb37127476z
ark:/12148/cb350373068		Nièce				fre ; français					le Bel atelier (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1989	texte imprimé ; printed text ; text	242 p. ; 24 cm	http://catalogue.bnf.fr/ark:/12148/cb350373068
ark:/12148/cb41488696d		Les aventures d'Alphonse Vaublanc / Vincent Cordonnier		Collection : Estampille		fre ; français			Cordonnier, Vincent (1964-....). Auteur du texte		Bayard jeunesse (Montrouge)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2009	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 19 cm	http://catalogue.bnf.fr/ark:/12148/cb41488696d
ark:/12148/cb40125716k		Tu connais pas la dernière ? / François Jouffa & Alain Briaux				fre ; français			Jouffa, François (1943-....). Auteur du texte ; Briaux, Alain. Auteur du texte		First éd. (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2005	texte imprimé ; printed text ; text	12 cm	http://catalogue.bnf.fr/ark:/12148/cb40125716k
ark:/12148/cb42206826f		Nemi / Lise Myhre		Collection : Collection Milady graphics		fre ; français			Myhre, Lise (1975-....). Auteur du texte		Milady (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2009	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb42206826f
ark:/12148/cb42397826q		Le rite opératif de Salomon / Monique Amiot, Xavier Tacchella				fre ; français			Amiot, Monique. Auteur du texte ; Tacchella, Xavier (1951-....). Auteur du texte		MdV éd. (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2011	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb42397826q
ark:/12148/cb37721047v		Cris / Max Loreau		Collection : Collection La philosophie en effet		fre ; français			Loreau, Max (1928-1990). Auteur du texte		Galilée (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb37721047v
ark:/12148/cb371267171		Statistiques communales, budgets primitifs 1996 / Loiret, Conseil général				fre ; français			Loiret. Conseil général. Auteur du texte		[Conseil général du Loiret] (Orléans)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1996	texte imprimé ; printed text ; text	Graph. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb371267171
ark:/12148/cb34334697w		Chronique / André Bonafos				fre ; français			Bonafos, André (1931-....). Auteur du texte		Espace culturel eyraguais (Eyragues)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1988	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb34334697w
ark:/12148/cb365943670		De Kant à Schelling : les deux voies de l'idéalisme allemand / Miklos Vetö		Collection : Krisis		fre ; français			Vetö, Miklos (1936-2020). Auteur du texte		J. Millon (Grenoble)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb365943670
ark:/12148/cb361341874		Guinée : catalogue général de cartes postales, 1892-1904 / Patrice Garcia		Collection : Cart'outre-mer		fre ; français			Garcia, Patrice (1955-....). Auteur du texte		Éd. Tropiques (Meudon-la-Forêt)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1996	texte imprimé ; printed text ; text	ill. ; 31 cm	http://catalogue.bnf.fr/ark:/12148/cb361341874
ark:/12148/cb34294077p		Histoire de la philosophie...				fre ; français					Gallimard (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1969	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb34294077p
ark:/12148/cb343433077		Les Sujets du bac Hachette : préparation au bac 86				fre ; français					Hachette (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1985	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb343433077
